,date,team_1,team_1_score,team_2,team_2_score,field
0,1/01/1992,Brown,12,Cornell,6,@Cornell
1,1/01/1992,Central Florida,4,Cornell,2,@Central Florida
2,1/01/1992,Cornell,10,Massachusetts,5,@Cornell
3,1/01/1992,Cornell,11,Ithaca,3,@Ithaca
4,1/01/1992,Cornell,11,Ithaca,5,@Cornell
5,3/15/1992,Cornell,11,Vermont,10,@Vermont
6,1/01/1992,Cornell,13,Army,7,@Army
7,4/12/1992,Cornell,13,Pennsylvania,11,@Pennsylvania
8,1/01/1992,Cornell,20,Bethune-Cookman,11,@Neutral
9,1/01/1992,Cornell,3,Cortland,2,@Cornell
10,1/01/1992,Cornell,5,Army,4,@Army
11,4/29/1992,Cornell,5,Columbia,3,@Cornell
12,4/19/1992,Cornell,5,Princeton,1,@Princeton
13,4/29/1992,Cornell,6,Columbia,3,@Cornell
14,1/01/1992,Cornell,7,Colgate,1,@Colgate
15,1/01/1992,Cornell,7,Colgate,4,@Colgate
16,1/01/1992,Cornell,8,Ithaca,2,@Cornell
17,1/01/1992,Cornell,8,Rollins,5,@Rollins
18,1/01/1992,Cornell,9,Colgate,5,@Neutral
19,1/01/1992,Cornell,9,Navy,1,@Navy
20,1/01/1992,Cortland,10,Cornell,8,@Cornell
21,5/02/1992,Dartmouth,4,Cornell,3,@Dartmouth
22,5/02/1992,Dartmouth,6,Cornell,2,@Dartmouth
23,5/03/1992,Harvard,11,Cornell,6,@Harvard
24,5/03/1992,Harvard,4,Cornell,3,@Harvard
25,1/01/1992,Illinois-Chicago,15,Cornell,7,@Neutral
26,1/01/1992,LeMoyne,10,Cornell,2,@Cornell
27,1/01/1992,LeMoyne,19,Cornell,3,@Cornell
28,1/01/1992,Lehigh,2,Cornell,1,@Lehigh
29,1/01/1992,Lehigh,5,Cornell,4,@Lehigh
30,1/01/1992,Navy,11,Cornell,2,@Navy
31,4/12/1992,Pennsylvania,18,Cornell,6,@Pennsylvania
32,4/19/1992,Princeton,3,Cornell,1,@Princeton
33,3/18/1992,Vermont,2,Cornell,1,@Vermont
34,1/01/1992,Wisconsin-Parkside,9,Cornell,7,@Neutral
35,1/01/1992,Yale,11,Cornell,4,@Cornell
36,1/01/1992,Yale,7,Cornell,3,@Cornell
37,1/01/1994,Brown,8,Cornell,0,@Brown
38,1/01/1994,Bucknell,8,Cornell,2,@Bucknell
39,1/01/1994,Cornell,10,LeMoyne,9,@LeMoyne
40,1/01/1994,Cornell,3,Brown,1,@Brown
41,1/01/1994,Cornell,4,Dartmouth,3,@Cornell
42,1/01/1994,Cornell,5,Dartmouth,4,@Cornell
43,1/01/1994,Cornell,6,LeMoyne,0,@Cornell
44,1/01/1994,Cornell,9,Bucknell,6,@Bucknell
45,1/01/1994,LeMoyne,4,Cornell,2,@Cornell
46,1/01/1994,Old Dominion,12,Cornell,0,@Old Dominion
47,1/01/1994,Yale,8,Cornell,5,@Yale
48,1/01/1994,Yale,9,Cornell,8,@Yale
49,4/02/1994,Cornell,3,Harvard,2,@Cornell
50,4/02/1994,Cornell,7,Harvard,4,@Cornell
51,4/16/1994,Pennsylvania,12,Cornell,2,@Pennsylvania
52,4/16/1994,Pennsylvania,14,Cornell,0,@Pennsylvania
53,4/17/1994,Pennsylvania,2,Cornell,0,@Pennsylvania
54,4/17/1994,Pennsylvania,3,Cornell,1,@Pennsylvania
55,4/19/1994,Penn State,19,Cornell,7,@Penn State
