2347641, 2020: Jersey is '2G'?

ACC
failure: Koury Hajjar (1208045) | season: 2013 (11320) | school: Boston College (67)
failure: Jake Conway (1320688) | season: 2013 (11320) | school: Virginia Tech (742)
failure: Carmen Giampetruzzi (1643509) | season: 2015 (12080) | school: Boston College (67)
failure: Austin Staley (1660589) | season: 2015 (12080) | school: NC State (490)
failure: Austin Batchelor (1752157) | season: 2016 (12360) | school: Boston College (67)
failure: Kevin Henriksen (1757046) | season: 2016 (12360) | school: Pittsburgh (545)
failure: Zack Hersh (1758919) | season: 2016 (12360) | school: Duke (193)
failure: Carter Hall (1767493) | season: 2016 (12360) | school: Georgia Tech (255)
failure: J.D. Mundt (1773275) | season: 2016 (12360) | school: Louisville (367)
failure: Daniel Rivero (1863955) | season: 2017 (12560) | school: Miami (FL) (415)
failure: Jalen Harrison (1867166) | season: 2017 (12560) | school: Virginia (746)
failure: Chris Dutra (1867932) | season: 2017 (12560) | school: Duke (193)
failure: Coleman Williams (1867934) | season: 2017 (12560) | school: Duke (193)
failure: Cameron Kovachik (1867939) | season: 2017 (12560) | school: Duke (193)
failure: Aaron Soucy (1876527) | season: 2017 (12560) | school: Boston College (67)
failure: Mikey Giordano (1876529) | season: 2017 (12560) | school: Boston College (67)
failure: Antonio Menendez (1976541) | season: 2018 (12973) | school: Wake Forest (749)
failure: Freddie Zamora (1982088) | season: 2018 (12973) | school: Miami (FL) (415)
failure: Joe Sparber (1982109) | season: 2018 (12973) | school: Miami (FL) (415)
failure: Christian Hlinka (1983416) | season: 2018 (12973) | school: Virginia (746)
failure: Spencer Strider (1990229) | season: 2018 (12973) | school: Clemson (147)
failure: Drew Donathan (1990237) | season: 2018 (12973) | school: Clemson (147)
failure: Ben Bianco (1995408) | season: 2018 (12973) | school: Louisville (367)
failure: Gavin Sullivan (1995413) | season: 2018 (12973) | school: Louisville (367)
failure: Josh Pike (1997176) | season: 2018 (12973) | school: NC State (490)
failure: Chris Ruckdeschel (2112585) | season: 2019 (14781) | school: Florida St. (234)
failure: Dakota Gaillard (2112622) | season: 2019 (14781) | school: Florida St. (234)
failure: Troy Hamilton (2112627) | season: 2019 (14781) | school: Florida St. (234)
failure: Cole Beverlin (2112630) | season: 2019 (14781) | school: Florida St. (234)
failure: Kyle Mcmullen (2112634) | season: 2019 (14781) | school: Florida St. (234)
failure: Chase Sanguinetti (2112646) | season: 2019 (14781) | school: Florida St. (234)
failure: Corey Yawn (2112671) | season: 2019 (14781) | school: Florida St. (234)
failure: Davis Palermo (2117364) | season: 2019 (14781) | school: North Carolina (457)
failure: Matt Ballance (2117820) | season: 2019 (14781) | school: Virginia Tech (742)
failure: Samrath Singh (2118582) | season: 2019 (14781) | school: Boston College (67)
failure: Jimmy Loper (2122082) | season: 2019 (14781) | school: Duke (193)
failure: Oliver Mccarthy (2122104) | season: 2019 (14781) | school: Duke (193)
failure: Jake Swartz (2122116) | season: 2019 (14781) | school: Duke (193)
failure: Jake Topolski (2122144) | season: 2019 (14781) | school: Duke (193)
failure: Brandon Neeck (2127019) | season: 2019 (14781) | school: Virginia (746)
failure: Cristian Sanchez (2127041) | season: 2019 (14781) | school: Virginia (746)
failure: Jimmy Sullivan (2127043) | season: 2019 (14781) | school: Virginia (746)
failure: Sen Kenneally (2127047) | season: 2019 (14781) | school: Virginia (746)
failure: Matthew Lumsden (2129995) | season: 2019 (14781) | school: Clemson (147)
failure: Carter Raffield (2130008) | season: 2019 (14781) | school: Clemson (147)
failure: Hite Merrifield (2130537) | season: 2019 (14781) | school: Wake Forest (749)
failure: Brennen Oxford (2130538) | season: 2019 (14781) | school: Wake Forest (749)
failure: Drew Kendall (2130557) | season: 2019 (14781) | school: Wake Forest (749)
failure: Landon Dombrowski (2130561) | season: 2019 (14781) | school: Wake Forest (749)
failure: Shane Smith (2130562) | season: 2019 (14781) | school: Wake Forest (749)
failure: Andrew Rust (2130563) | season: 2019 (14781) | school: Wake Forest (749)
failure: Tim Borden (2137841) | season: 2019 (14781) | school: Louisville (367)
failure: Andrew Benefield (2137846) | season: 2019 (14781) | school: Louisville (367)
failure: Danny Zimmerman (2137853) | season: 2019 (14781) | school: Louisville (367)
failure: Logan Whitaker (2140068) | season: 2019 (14781) | school: NC State (490)
failure: Hunter Christopher (2140070) | season: 2019 (14781) | school: NC State (490)
failure: John Creel (2140161) | season: 2019 (14781) | school: NC State (490)
failure: Jack Friedman (2141156) | season: 2019 (14781) | school: Georgia Tech (255)
failure: Jacob Baldino (2306451) | season: 2020 (15204) | school: Virginia (746)
failure: Jake Hodorovich (2306452) | season: 2020 (15204) | school: Virginia (746)
failure: Daniel Labrador (2310004) | season: 2020 (15204) | school: Miami (FL) (415)
failure: Alex Greene (2486496) | season: 2021 (15580) | school: Virginia (746)
failure: David Coppedge (2486498) | season: 2021 (15580) | school: Virginia (746)
failure: Connor Hincks (2486500) | season: 2021 (15580) | school: Virginia (746)
