,index,Year,Team,GP,AB,H,BA,OBPct,TB,SlgPct,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,season_id,school_id,stats_player_seq,name,G,RBI2out,OPP DP
0,0,2012-13,{'href': '/team/172/11320'},9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11320,172,982991,Cole Sulser,,,
1,0,2011-12,{'href': '/team/80/10942'},13,0,0,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,11320,80,1070906,Kevin Carlow,,,
2,1,2012-13,{'href': '/team/80/11320'},10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11320,80,1070906,Kevin Carlow,,,
3,0,2011-12,{'href': '/team/80/10942'},11,0,0,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,11320,80,1070908,Will Lacker,,,
4,1,2012-13,{'href': '/team/80/11320'},8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11320,80,1070908,Will Lacker,,,
5,0,2011-12,{'href': '/team/80/10942'},11,0,0,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,11320,80,1070909,Heath Mayo,,,
6,1,2012-13,{'href': '/team/80/11320'},8,2,-,0.000,0.000,-,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11320,80,1070909,Heath Mayo,,,
7,0,2011-12,{'href': '/team/80/10942'},30,111,35,0.315,0.350,-,0.486,14,6,2,1,13,2,4,-,4,24,1,12,4,-,-,11320,80,1070910,John Sheridan,,,
8,1,2012-13,{'href': '/team/80/11320'},39,115,28,0.243,0.290,-,0.304,13,2,1,1,10,6,2,1,6,27,2,12,3,-,-,11320,80,1070910,John Sheridan,,,
9,0,2011-12,{'href': '/team/80/10942'},37,129,41,0.318,0.403,-,0.574,23,8,-,5,32,16,3,1,-,27,4,-,-,-,1,11320,80,1070911,Cody Slaughter,,,
10,1,2012-13,{'href': '/team/80/11320'},39,134,33,0.246,0.306,-,0.261,10,2,-,-,11,10,2,1,-,25,6,1,1,-,-,11320,80,1070911,Cody Slaughter,,,
11,0,2011-12,{'href': '/team/172/10942'},39,135,42,0.311,0.419,-,0.370,24,4,1,-,16,15,10,-,2,17,4,3,7,-,-,11320,172,1081367,Ennis Coble,,,
12,1,2012-13,{'href': '/team/172/11320'},40,151,49,0.325,0.405,-,0.457,33,12,1,2,22,14,7,1,2,10,4,11,-,-,-,11320,172,1081367,Ennis Coble,,,
13,0,2011-12,{'href': '/team/172/10942'},10,0,0,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,11320,172,1081368,Kyle Hunter,,,
14,1,2012-13,{'href': '/team/172/11320'},9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11320,172,1081368,Kyle Hunter,,,
15,0,2011-12,{'href': '/team/172/10942'},8,0,0,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,11320,172,1081369,Michael Johnson,,,
16,1,2012-13,{'href': '/team/172/11320'},9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11320,172,1081369,Michael Johnson,,,
17,0,2011-12,{'href': '/team/172/10942'},7,6,1,0.167,0.444,-,0.167,1,-,-,-,0,3,-,-,-,1,1,-,-,-,-,11320,172,1081371,Chad Piersma,,,
18,1,2012-13,{'href': '/team/172/11320'},9,26,9,0.346,0.370,-,0.538,6,5,-,-,8,1,-,-,-,3,-,-,-,-,-,11320,172,1081371,Chad Piersma,,,
19,0,2011-12,{'href': '/team/167/10942'},15,23,5,0.217,0.280,-,0.261,2,1,-,-,2,2,-,-,2,7,-,-,-,-,-,11320,167,1085352,Chris Burke,,,
20,1,2012-13,{'href': '/team/167/11320'},10,22,4,0.182,0.217,-,0.182,-,-,-,-,3,1,-,-,-,4,-,-,-,-,-,11320,167,1085352,Chris Burke,,,
21,0,2012-13,{'href': '/team/167/11320'},2,2,-,0.000,0.000,-,0.000,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,11320,167,1085354,Anthony Irigoyen,,,
22,0,2011-12,{'href': '/team/167/10942'},6,0,0,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,11320,167,1085355,Mike Kazley,,,
23,1,2012-13,{'href': '/team/167/11320'},10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11320,167,1085355,Mike Kazley,,,
24,0,2011-12,{'href': '/team/167/10942'},5,2,1,0.500,0.500,-,0.500,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,11320,167,1085357,Connor Mccabe,,,
25,1,2012-13,{'href': '/team/167/11320'},26,58,11,0.190,0.203,-,0.241,7,3,-,-,7,1,-,-,2,9,1,1,1,-,-,11320,167,1085357,Connor Mccabe,,,
26,0,2011-12,{'href': '/team/167/10942'},4,6,3,0.500,0.500,-,0.500,1,-,-,-,2,-,-,-,-,1,-,-,-,-,-,11320,167,1085359,Phil Mullan,,,
27,1,2012-13,{'href': '/team/167/11320'},10,18,2,0.111,0.158,-,0.111,1,-,-,-,1,-,1,-,-,4,1,-,-,-,-,11320,167,1085359,Phil Mullan,,,
