ballpark,run_diff,park_factor_runs
Morehead St.,4.666445,1.848445
New Mexico St.,3.577237,1.650407
Air Force,3.522267,1.640412
Austin Peay,2.79232,1.507695
New Mexico,2.713084,1.493288
Western Caro.,2.585028,1.470005
Saint Peter's,2.509946,1.456354
"Clarksville, TN",2.451612,1.445748
Utah Valley,2.301547,1.418463
Tennessee Tech,2.135925,1.38835
Prairie View,2.083989,1.378907
BYU,2.079594,1.378108
Eastern Ill.,2.058793,1.374326
Murray St.,2.057139,1.374025
Ball St.,2.030971,1.369267
"Albuquerque, N.M.",1.97001,1.358184
"Spartanburg, S.C.",1.952328,1.354969
Oakland,1.951691,1.354853
James Madison,1.876861,1.341247
Alcorn,1.82556,1.33192
Northern Colo.,1.766639,1.321207
UNC Greensboro,1.734817,1.315421
UT Martin,1.696469,1.308449
Grambling,1.689959,1.307265
Arizona,1.571829,1.285787
UNC Asheville,1.482709,1.269583
Delaware,1.468951,1.267082
Eastern Ky.,1.425491,1.25918
Furman,1.409268,1.256231
Georgia St.,1.380207,1.250947
"Conway, S.C.",1.372788,1.249598
Appalachian St.,1.333004,1.242364
Milwaukee_2,1.32287,1.240522
Florida St.,1.256311,1.22842
"Charlotte, N.C.",1.201592,1.218471
"Greenville, SC",1.173171,1.213304
"Winter Haven, FL",1.162524,1.211368
"Kissimmee, Fla.",1.161143,1.211117
Lafayette,1.136925,1.206714
"Lexington, Ky.",1.133577,1.206105
"Daytona Beach, Fla.",1.098161,1.199666
"New Orleans, La.",1.095911,1.199257
UNLV,1.083104,1.196928
Coppin St.,1.069917,1.19453
Northern Ky.,1.065436,1.193716
Virginia Tech,1.063476,1.193359
William & Mary,1.058025,1.192368
Delaware St.,1.05196,1.191266
Georgia Tech,1.050623,1.191022
Alabama A&M,1.04633,1.190242
"Oxford, AL",1.041142,1.189299
Ohio,1.037208,1.188583
"Norfolk, Va.",1.031989,1.187634
N.C. A&T,1.028502,1.187
VMI,1.026965,1.186721
"Trenton, N.J.",1.021704,1.185764
UC Riverside,1.011696,1.183945
Texas Tech,1.008287,1.183325
Kentucky_2,1.004547,1.182645
Southeast Mo. St.,0.998856,1.18161
"Baton Rouge, LA (DI Baseball Tournament)",0.971217,1.176585
"Phoenix, Ariz.",0.970841,1.176516
"Vero Beach, Fla.",0.962939,1.17508
Mississippi Val.,0.96214,1.174935
"Greensboro, NC",0.941833,1.171242
Jackson St.,0.928183,1.16876
"Fayetteville, Ark.",0.927414,1.168621
Bryant,0.920566,1.167376
"Davidson, N.C.",0.913852,1.166155
Coastal Carolina,0.892517,1.162276
Towson,0.88255,1.160464
"Lexington, SC",0.871484,1.158452
Davidson,0.870461,1.158266
SIUE,0.866592,1.157562
"Newark, NJ",0.866518,1.157549
Southern U.,0.860453,1.156446
Omaha,0.857581,1.155924
Mount St. Mary's,0.857007,1.155819
"Orlando, Fla.",0.839275,1.152596
"Spartanburg, SC",0.837635,1.152297
Middle Tenn.,0.830347,1.150972
"Toledo, Ohio",0.83018,1.150942
"Colorado Springs, CO",0.821247,1.149318
"Holly Springs, NC",0.820048,1.1491
"Dallas, TX",0.800124,1.145477
Florida A&M,0.7996,1.145382
"Clearwater, FL (American Athletic Conference Baseball Championship)",0.793994,1.144363
Grand Canyon,0.793354,1.144246
Boise St.,0.778643,1.141571
USC Upstate,0.774137,1.140752
"Dallas, Texas",0.760344,1.138244
"Lake Elsinore, Calif",0.760196,1.138217
"Piscataway, N.J.",0.751701,1.136673
